Food Type,Emissions
Beef,7060
Lamb,3970
Shellfish,2690
Cheese,2390
Fish,1360
Pork,1230
Chicken,990
Eggs,470
Rice,360
Grains,360
Milk,320
Tofu,320
Legumes,200
Bread,160
Pasta,160
Fruit,90
Vegetables,70
Nuts,40
